resume,opening,applicant,requirement,meet,qualified,candidate,confidence,highly,professional,interview ,hire,training,reference,position,achievement,impressed,excellent,eligible,identify,associate,condition,employment,lack,managerial,diligent,familiar,proficiency,prospective,appeal,specialize,apprehensive,consultant,entitle,degree,payroll,recruit,certification,occupation,wage,,,,
이력서,"공석, 결원, 개장","지원자, 신청자","필요조건, 요건",만족시키다,"자격 있는, 적격의","후보자, 지원자","확신, 신임, 자신","매우, 대단히","전문적인, 직업의, 전문가","면접, 면접을 보다",고용하다,"교육, 훈련","추천서, 참고","일자리, 직책, 두다","성취, 달성",인상 깊게 생각하는,"훌륭한, 탁월한","자격이 있는, 적격의","알아보다, 확인하다",관련시키다,조건,고용,"~이 없다, 부족",관리의,성실한,"익숙한, 친숙한","숙달, 능숙","장래의, 미래의","관심을 끌다, 매력적이다",~을 전공하다,"걱정하는, 염려하는","고문, 컨설턴트",자격을 주다,학위,"임금 대장, 급료 명부",모집하다,"증명서, 증명",직업,"임금, 급료",,,,
attire,code,concern,policy,comply,regulation,exception,adhere,severely,refrain,permission,access,thoroughly,revise,approach,approval,form,immediately,inspection,arrangement,procedure,negative,mandate,effect,drastically,according to,enable,standard,constant,act,compensation,ban,obligation,authorize,prohibit,abolish,enforce,habit,legislation,restrict,,,,
"복장, 옷차림새","규범, 관례","우려, 걱정, ~을 걱정스럽게 하다",규정,"준수하다, 따르다",규정,예외,"지키다, 고수하다","엄격하게, 심하게","자제하다, 삼가다","허락, 허가","이용 권한, 접근, ~에 접근하다","철저하게, 완전히, 대단히","수정하다, 변경하다","접근법, 다가오다","승인, 인가","종류, 유형, 양식","즉시, 곧","점검, 검사","준비, 마련",절차,"부정적인, 비관적인","명령하다, 지시하다, 권한, 지시","효력, 효과, 결과로서 ~을 가져오다","심하게, 과감하게, 철저하게",~에 따라,가능하게 하다,"기준, 표준","지속적인, 끊임없이 계속하는","결의서, 행동, 행동하다, 결정하다","보상금, 보상","금지, 금지하다","의무, 책임","~을 인가하다, 권한을 부여하다",금지하다,폐지하다,"시행하다, 집행하다","습관, 버릇","법률, 법규","한정하다, 제한하다",,,,
accustomed,corporation,demanding,colleague,division,request,efficiently,manage,submit,directly,remind,instruct,deadline,sample,notify,perform,monitor,deserve,assignment,entire,release,extension,electronically,attendance,absolutely,delegate,attentively,supervision,workshop,draw,revision,reluctantly,acquaint,convey,check,headquarters,file,oversee,involved,concentrate,,,,
익숙한,"주식회사, 법인","요구가 많은, 힘든",동료,부서,요청,효율적으로,"경영하다, 가까스로 하다",제출하다,곧바로,~에게 상기시키다,"지시하다, 가르치다","마감일, 마감시간","견본, 샘플","~에게 통지하다, 알리다","행하다, 실행하다","감독하다, 감시하다","~할 만하다, ~할 가치가 있다","일, 임무, 과제",전체의,"발표하다, 공개하다, 출시","연장, 연기","컴퓨터 통신망으로, 컴퓨터로","출근, 출석","완전히, 절대적으로","위임하다, 대표","주의 깊게, 조심스럽게",감독,"워크숍, 연수","끌다, 끌어당기다","수정, 개정","마지못해, 꺼려하여","~에게 숙지시키다, 잘 알게 하다",전달하다,"검사하다, 확인하다",본부,"정리하다, 철하다, 제출하다",감독하다,"관여하는, 관계된","집중하다, 집중시키다",,,,
lax,procrastinate,combined,accomplish,voluntarily,undertake,assume,occasionally,employee,assist,satisfied,manner,responsible,conduct,adjust,personnel,agree,supervise,coworker,direct,confidential,assign,leading,formal,remove,collect,coordinate,hardly,abstract,directory,accountable,skillfully,exclusive,intention,transform,respectful,duplicate,contray,disturbing,engage,foster,neutrality,widely,externally
"느슨한, 규율에 못 미치는","미루다, 꾸물거리다","결합된, 합동의",성취하다,자발적으로,떠맡다,"사실이라고 생각하다, 맡다","가끔, 때때로","직원, 고용인","돕다, 조력하다","만족하는, 만족스러워하는","방식, 태도","책임이 있는, 책임져야 할",수행하다,적응하다,"직원, 인원",동의하다,"감독하다, 지시하다","동료, 협력자","~에게 길을 안내하다, 가르쳐 주다","기밀의, 내밀한","배정하다, 할당하다","선도적인, 일류의, 선두적인",격식을 갖춘,"해임하다, 제거하다","모으다, 수집하다",조정하다,거의 ~하지 않다,"추상적인, 막연한",주소록,책임이 있는,"능숙하게, 솜씨 있게","독점적인, 배타적인","의지, 의향","바꾸다, 변모시키다","정중한, 존중하는",사본,반대,"충격적인, 방해하는","관여하다, 종사하다","촉진하다, 육성하다","중립성, 중립",널리,"외부에서, 외부적으로"
sophisticated,timely,realistically,promptly,accessible,implement,feedback,outstanding,inform,replacement,announcement,department,permanetly,fulfill,outline,explain,contain,compile,subsequent,overview,provider,matter,expertise,demonstrate,remainder,essential,divide,major,compliance,clarify,face,follow,aspect,apparently,aware,extended,accidentally,advisable,concerned,speak,,,,
"정교한, 복잡한, 세련된","시기적절한, 때를 맞춘",현실적으로,"즉시, 정각에","출입할 수 있는, 이용할 수 있는","실시하다, 실행하다","의견, 반응","우수한, 미지불된",~에게 알리다,"교체, 후임자","공고, 발표",부서,"영구적으로, 불변으로","만족시키다, 지키다","개요, 설명하다, 약술하다",설명하다,포함하다,"편집하다, 모으다","차후의, 그 다음의","개요, 개관","공급자, 제공자","문제, 일","전문 지식, 전문 기술","증명하다, 설명하다",나머지,"필수적인, 본질적인","나누다, 분배하다","주요한, 중대한",준수,명확하게 하다,"직면하다, 향하다, 마주보다","따라가다, 주시하다, 이해하다","관점, 국면, 측면","보기에 ~한 듯한, 외관상으로는",인식하고 있는,"연장한, 장기간에 걸친","뜻하지 않게, 우연히","바람직한, 합당한","염려하는, 걱정하는, 관련된",이야기하다,,,,
rest,exhibition,celebrity,live,improvise,popular,donation,alumni,present,admission,banquet,anniversary,required,succeed,collection,fund-raising,resume,issue,subscription,appear,accompany,edition,specifically,anonymous,commit,informative,audience,author,note,antique,manuscript,beneficial,upcoming,lend,current,local,variety,advocate,contributor,defy,fasinating,showing,,
"쉬다, 휴식하다, 휴식",전시회,유명 인사,"생방송인, 거주하다, 살다",즉흥적으로 하다,인기 있는,"기증, 기부","동창생들, 졸업생들","제시하다, 현재의, 참석한",입장,"연회, 만찬",기념일,"필수의, 의무적인","성공하다, 뒤를 잇다","소장품, 수집물",모금,"재개하다, 다시 시작하다","제 ~호, 문제, 쟁점",구독,"나타나다, 출현하다","동행하다, 동반하다",판,"명확하게, 분명히, 특히, 특별히","익명의, 이름을 모르는","헌신하다, 전념하다","유익한, 정보를 주는","청중, 관중","작가, 저자","주목하다, 특별히 언급하다",골동품,원고,"유익한, 이로운","곧 있을, 다가오는",빌려주다,"현재의, 현행의, 통용되는","지방의, 고장의","다양성, 변화, 종류, 품종",옹호자,"공헌자, 기고가","저항하다, 거의 불가능하다","매혹적인, 황홀한","상영, 전시",,
survey,analysis,respondent,monopoly,competiton,consistently,demand,do one's utmost,expand,advanced,postpone,additional,appreciate,demonstration,buy,examine,effective,like,especially,closely,reserve,cooperate,very,consecutive,expectation,publicize,raise,extremely,affect,target,campaign,probable,focus,seasonal,impact,comparison,gap,mounting,reflective,,,,,
설문 조사,분석,응답자,"독점,전매",경쟁,"항상,일관되게",수요,전력을 다하다,"확장하다,확대하다","고급의,진보한","미루다,연기하다","추가의,부가적인",고맙게 생각하다,설명,"사다,구입하다",조사하다,"효과적인,시행되는",좋아하다,특히,"자세히,면밀히",예약하다,"협력하다,협동하다","매우,대단히",연속적인 ,"기대,예상",공표하다,"올리다,높이다","극도로,대단히",~에 영향을 미치다,목표,"운동,캠페인",개연성이 높은,집중시키다,"계절의,계절적인",영향,비교,격차,증가하는,반영하는,,,,,
advertisement,marginal,customer,influence,instantly,creative,aggressively,aim,strategy,indicate,attract,experience,analyze,introduce,advise,subscribe,absence,means,prefer,advantage,forward,contemporary,discussion,initial,steadily,necessarily,resolve,detect,intensify,favorably,cover,less,majority,adopt,largely,disregard,effort,incentive,need,mastermind,,,,
광고,"약간의,주변의",고객,~에 영향을 주다,즉각적으로,"창조적인,독창적인",적극적으로,"~을 겨누다,목표",전략,보여주다,"끌다,유인하다","경험,체험",분석하다,"소개하다,발표하다","조언해주다,충고하다",구독하다,"부재,결근,결석","방법,수단",선호하다,"이점,강정",앞으로,"동시대의,현대의,당대의","토론,토의","처음의,최초의","착실하게,꾸준하게",반드시,해결하다,"간파하다,탐지하다",강화하다,호의적으로,포함하다,"보다 적은,덜한","대다수,대부분","채택하다,입양하다","주로,대부분","소홀히하다,무시하다",노력,"장려금,혜택","필요,욕구","입안자,지도자",,,,
